Fuel Totals,MWH,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Year,
Coal,"114,736","10,083","8,781","8,224","8,780","9,691","10,403","10,863","10,629","9,778","9,299","8,808","9,395",2008,
Gas,"132,698","9,735","7,813","8,994","9,351","12,055","15,098","16,049","16,284","11,116","10,286","7,188","8,729",2008,
Hydro,770,50,44,54,127,112,72,66,55,73,70,29,19,2008,
Nuclear,"40,709","3,777","3,446","3,476","2,182","3,734","3,584","3,691","3,689","3,437","2,348","3,529","3,816",2008,
Other,"4,809",429,275,371,318,446,518,498,554,445,378,190,385,2008,
Wnd,"15,238","1,131","1,158","1,492","1,410","1,549","1,630","1,142",586,625,"1,329","1,376","1,809",2008,
Coal,"111,795","9,572","7,760","7,462","8,142","9,501","9,810","10,442","10,322","9,251","9,744","9,265","10,526",2009,
Gas,"128,571","8,605","6,641","8,531","7,324","10,775","15,390","17,244","17,433","12,010","9,134","6,374","9,111",2009,
Hydro,688,28,22,43,58,121,103,70,76,40,34,53,40,2009,
Nuclear,"41,460","3,815","3,432","3,787","3,662","3,644","3,601","3,700","3,702","3,199","2,065","3,009","3,843",2009,
Other,"4,109",313,242,264,266,467,468,559,139,441,369,182,399,2009,
Wind,"18,810","1,576","1,646","1,858","2,022","1,407","1,500","1,274","1,416","1,115","1,746","1,622","1,626",2009,
Coal,"124,949","10,767","9,220","8,946","7,879","10,209","12,022","12,068","12,476","11,227","10,298","9,089","10,748",2010,
Gas,"120,732","9,595","8,972","6,299","8,636","10,405","12,859","13,853","17,100","11,746","7,703","6,808","6,756",2010,
Hydro,927,45,101,97,88,99,82,132,92,73,58,26,34,2010,
Nuclear,"41,334","3,453","3,261","3,695","1,971","3,704","3,611","3,754","3,670","3,641","3,795","2,936","3,844",2010,
Other,"3,391",113,310,280,158,382,453,493,466,371,214,102,48,2010,
Wind,"24,713","1,873","1,585","2,527","2,584","2,175","2,398","1,755","1,561","1,463","1,729","2,622","2,440",2010,
Coal,"130,083","11,516","9,516","9,860","10,162","11,076","12,250","12,899","12,767","11,576","9,925","8,821","9,713",2011,
Gas,"132,872","8,275","8,100","6,159","9,249","10,123","14,115","17,601","19,503","12,893","9,055","7,761","10,038",2011,
Hydro,525,34,36,28,54,73,79,49,61,43,25,20,23,2011,
Nuclear,"39,648","3,786","3,473","3,808","2,023","3,380","3,646","3,461","3,594","3,660","3,091","2,912","2,813",2011,
Other,534,44,38,47,49,51,43,37,38,40,55,49,43,2011,
Wind,"28,295","1,916","2,371","2,605","2,832","2,871","3,133","1,960","1,913","1,510","2,399","2,582","2,204",2011,
Biomass,485,32,26,26,24,42,84,59,71,29,41,27,25,2012,
Coal,"109,747","8,000","7,439","7,056","5,927","8,500","10,396","11,411","11,542","10,654","10,217","9,402","9,203",2012,
Gas,"21,667",529,470,"1,360","2,473","2,192","2,988","3,305","3,638","1,973","1,165",893,682,2012,
Gas-CC,"123,335","9,641","9,099","8,967","10,164","11,339","12,364","13,302","14,111","10,936","8,432","6,973","8,007",2012,
Hydro,456,43,39,52,68,54,29,25,38,37,23,20,28,2012,
Nuclear,"38,441","2,821","2,635","2,769","2,807","3,803","3,654","3,761","3,756","3,618","2,674","2,297","3,846",2012,
Other,212,13,11,14,13,12,20,17,56,14,15,13,14,2012,
Solar,123,5,4,6,11,13,13,14,15,13,12,10,7,2012,
Wind,"29,803","2,781","2,351","3,050","2,712","2,608","2,370","1,975","1,749","2,046","2,563","2,553","3,046",2012,
Biomass,359,22,24,27,28,26,33,22,78,22,23,22,32,2013,
Coal,"123,232","9,465","8,191","8,566","8,365","10,108","12,284","12,701","12,587","11,495","9,537","8,471","11,461",2013,
Gas,"19,943",766,447,853,974,"1,305","2,514","2,923","3,670","2,678","1,381","1,250","1,183",2013,
Gas-CC,"114,413","9,825","7,153","7,386","8,076","8,490","10,226","11,820","13,287","11,469","8,605","8,423","9,654",2013,
Hydro,296,40,28,24,38,18,16,20,25,32,22,16,18,2013,
Nuclear,"38,343","2,951","2,550","2,767","2,325","3,611","3,689","3,726","3,717","3,486","3,259","3,172","3,088",2013,
Other,360,13,11,16,16,16,24,33,81,27,58,28,37,2013,
Solar,149,8,10,14,12,13,15,16,16,13,12,9,12,2013,
Wind,"32,705","2,427","2,754","3,528","3,519","3,691","3,195","2,096","1,868","1,711","2,755","2,753","2,407",2013,
Biomass,609,32,40,47,39,36,90,89,57,46,34,56,42,2014,
Coal,"122,483","10,798","10,305","9,312","8,866","10,719","10,614","12,538","12,141","11,153","9,174","8,380","8,484",2014,
Gas,"18,126","1,117","1,094",945,"1,359","1,394","1,815","2,370","3,070","1,719","1,479","1,147",618,2014,
Gas-CC,"121,636","8,816","7,508","7,599","7,959","9,137","11,351","12,956","14,352","12,283","11,033","8,538","10,106",2014,
Hydro,224,14,12,13,39,36,20,22,21,14,11,11,10,2014,
Nuclear,"39,287","3,685","3,439","3,210","1,897","2,778","3,564","3,732","3,728","3,624","2,958","2,860","3,812",2014,
Other,33,14,13,1,1,1,1,0,0,1,1,1,0,2014,
Solar,303,17,13,20,24,27,26,30,39,31,35,24,17,2014,
Wind,"36,142","3,546","2,391","3,372","3,581","3,215","3,932","2,429","2,275","2,025","2,738","3,713","2,926",2014,
Biomass,560,37,60,41,36,39,39,41,73,53,38,39,65,2015,
Coal,"97,655","8,557","6,663","5,557","5,694","7,780","10,499","11,031","11,011","9,978","8,352","6,505","6,028",2015,
Gas,"22,884","1,309","1,192","1,834","1,606","1,565","2,148","3,075","3,696","2,486","1,664","1,164","1,145",2015,
Gas-CC,"145,010","12,424","10,758","11,729","10,893","11,017","13,022","15,181","15,206","12,806","11,513","9,483","10,978",2015,
Hydro,563,12,8,13,11,66,91,88,76,39,26,49,84,2015,
Nuclear,"39,384","3,816","3,442","3,694","2,699","3,442","3,549","3,714","3,707","3,604","2,456","2,276","2,985",2015,
Other,4,0,1,1,1,0,0,0,1,0,0,0,0,2015,
Solar,421,22,23,29,30,32,40,46,46,46,43,28,36,2015,
Wind,"40,786","2,673","2,972","2,336","3,668","3,997","3,049","3,766","2,943","3,085","3,379","4,393","4,522",2015,
Biomass,620,48,63,48,44,54,53,51,82,40,41,55,40,2016,
Coal,"101,107","6,854","4,998","3,135","4,753","7,296","10,953","11,744","11,311","11,104","10,447","7,908","10,606",2016,
Gas,"21,768","1,037",918,"1,597","1,680","1,538","2,508","3,067","3,196","2,237","1,891","1,034","1,064",2016,
Gas-CC,"131,725","11,684","9,282","10,389","10,338","12,029","12,676","14,346","14,717","12,381","8,839","7,919","7,124",2016,
Hydro,"1,061",94,52,82,133,192,207,77,54,37,35,53,45,2016,
Nuclear,"42,091","3,688","3,556","3,776","3,651","2,698","3,588","3,712","3,710","3,597","3,005","3,306","3,803",2016,
Other,34,3,2,4,3,2,2,3,4,3,2,3,3,2016,
Solar,837,44,54,52,54,49,70,93,90,102,102,67,60,2016,
Wind,"53,146","4,100","4,686","5,208","4,408","4,738","3,464","5,266","3,412","3,638","4,982","4,251","4,995",2016,
Biomass,56,37,57,52,41,54,37,41,46,53,36,35,544,2017,
Coal,"9,732","6,902","7,069","8,744","9,922","10,901","11,642","11,211","10,758","9,417","9,273","9,569","115,141",2017,
Gas,747,480,825,975,"1,162","2,512","3,572","2,777","1,233",894,718,699,"16,594",2017,
Gas-CC,"7,425","6,626","7,982","7,680","9,325","12,708","15,827","15,393","11,957","9,688","7,330","10,308","122,250",2017,
Hydro,97,74,80,155,80,84,74,72,42,39,24,33,856,2017,
Nuclear,"3,804","3,423","3,291","1,844","3,543","2,826","2,794","3,353","3,505","3,044","3,286","3,791","38,504",2017,
Other,3,3,3,4,4,2,2,1,1,2,0,2,27,2017,
Solar,96,122,165,193,212,224,249,245,211,231,172,137,"2,258",2017,
Wind,"5,413","5,359","6,583","6,481","5,879","4,682","4,110","3,305","4,431","5,786","5,390","4,784","62,203",2017,
Biomass,56,43,38,33,66,63,67,58,31,32,32,42,563,2018,
Coal,"8,891","5,899","4,990","6,132","7,524","8,758","9,339","9,491","8,765","8,199","7,704","7,558","93,249",2018,
Gas,"1,411",661,884,951,"2,779","2,558","4,183","3,661","2,096","2,014","1,326",962,"23,487",2018,
Gas-CC,"10,690","10,134","9,923","8,801","12,136","14,854","17,438","16,202","13,775","10,404","8,767","10,594","143,719",2018,
Hydro,32,32,53,61,60,49,44,55,38,139,132,113,811,2018,
Nuclear,"3,809","3,433","3,528","2,783","3,746","3,593","3,706","3,622","3,589","2,909","3,297","3,111","41,125",2018,
Other,3,1,2,2,3,2,4,1,2,3,3,2,29,2018,
Solar,190,165,241,297,340,368,367,354,257,209,250,203,"3,240",2018,
Wind,"6,237","5,534","6,625","6,717","7,060","7,059","4,293","5,569","3,778","5,227","5,592","6,105","69,796",2018,
Biomass,35,31,47,28,31,29,34,75,34,27,25,26,421,2019,
Coal,"6,784","6,188","6,005","5,132","6,718","7,152","7,776","7,386","7,321","6,359","5,662","5,375","77,857",2019,
Gas,"1,083",889,"1,317","1,770","2,177","2,647","3,545","5,311","3,686","2,529","1,464",961,"27,379",2019,
Gas-CC,"11,978","9,206","10,300","8,948","12,571","15,262","17,314","18,580","16,100","11,590","10,375","12,165","154,391",2019,
Hydro,145,72,73,114,191,124,63,55,41,25,22,31,956,2019,
Nuclear,"3,230","3,431","3,723","3,252","2,934","3,601","3,705","3,691","3,582","2,877","3,498","3,790","41,314",2019,
Other,2,2,1,2,1,2,4,7,3,1,-1,-1,24,2019,
Solar,239,227,289,410,377,447,511,505,403,367,284,340,"4,398",2019,
Wind,"6,436","6,173","6,045","7,148","7,145","5,765","6,146","6,029","5,983","6,854","6,375","6,608","76,708",2019,
Biomass,25,35,27,26,24,25,20,70,25,25,26,25,353,2020,
Coal,"4,607","4,160","4,416","5,084","5,207","5,893","6,831","7,544","6,819","5,991","5,504","6,458","68,514",2020,
Gas,673,"1,250","1,911","1,375","1,603","1,997","3,642","4,220","1,568","2,143","1,245",807,"22,433",2020,
Gas-CC,"12,073","11,294","10,618","9,593","12,202","14,514","17,881","17,538","14,773","11,898","8,880","10,099","151,364",2020,
Hydro,54,56,96,83,77,50,50,53,58,27,17,16,639,2020,
Nuclear,"3,713","3,549","3,189","2,676","3,387","3,614","3,717","3,698","3,608","3,104","3,401","3,802","41,459",2020,
Other,-1,0,-1,0,0,0,0,1,1,2,0,1,2,2020,
Solar,361,398,449,595,910,"1,035","1,144","1,055",816,717,601,668,"8,749",2020,
Wind,"7,487","7,198","7,351","7,394","7,782","8,287","6,901","6,443","5,029","7,273","7,536","8,408","87,090",2020,
Biomass,22,17,22,19,18,29,68,75,65,65,18,17,434,2021,
Coal,"6,803","5,540","4,036","4,859","5,956","7,804","8,192","7,706","6,876","6,140","5,301","5,611","74,825",2021,
Gas,934,"2,843","1,235","2,053","1,193","2,925","3,476","3,520","2,672","2,730","1,446","1,078","26,106",2021,
Gas-CC,"10,744","10,455","7,023","8,119","10,228","14,621","16,735","17,045","14,538","11,360","8,425","9,021","138,314",2021,
Hydro,36,56,23,51,76,77,57,56,34,18,11,9,504,2021,
Nuclear,"3,801","3,317","3,369","2,988","3,748","3,099","3,705","3,696","3,595","2,178","2,984","3,790","40,270",2021,
Other,1,14,-1,2,-1,0,-1,-2,-2,-1,3,-3,10,2021,
Solar,738,686,"1,085","1,023","1,400","1,694","1,872","1,726","1,771","1,456","1,216","1,043","15,712",2021,
Wind,"7,702","5,996","10,483","8,895","9,104","6,960","5,370","7,375","6,767","8,608","8,543","9,599","95,403",2021,
Biomass,60,59,17,22,64,69,72,71,68,61,12,49,625,2022,
Coal,"6,564","6,000","5,171","5,096","5,117","6,670","7,089","6,829","6,328","5,634","5,518","5,486","71,501",2022,
Gas,"1,364","1,409","1,199","1,401","2,632","3,405","5,101","4,467","2,789","1,848","1,983","2,029","29,627",2022,
Gas-CC,"11,760","10,576","7,386","7,567","12,389","15,530","17,866","18,879","16,398","12,212","10,115","12,679","153,358",2022,
Hydro,13,13,24,35,50,67,57,26,17,15,12,15,344,2022,
Nuclear,"3,803","3,437","3,778","3,042","3,237","3,593","3,692","3,697","3,342","2,953","3,292","3,793","41,658",2022,
Other,29,31,36,43,55,50,56,51,52,60,57,51,570,2022,
Solar,"1,368","1,460","1,821","1,861","2,391","2,729","2,997","2,425","2,569","2,073","1,303","1,194","24,193",2022,
WSL,-33,-34,-41,-48,-62,-60,-63,-63,-64,-68,-68,-61,-665,2022,
Wind,"8,434","8,245","10,986","11,720","12,454","9,667","8,755","6,275","5,755","7,375","9,016","8,582","107,264",2022,
Biomass,19,31,0,0,0,0,0,0,0,0,0,0,50,2023,
Coal,"3,924","3,577",0,0,0,0,0,0,0,0,0,0,"7,501",2023,
Gas,"1,192","1,277",0,0,0,0,0,0,0,0,0,0,"2,469",2023,
Gas-CC,"10,894","10,295",0,0,0,0,0,0,0,0,0,0,"21,189",2023,
Hydro,17,24,0,0,0,0,0,0,0,0,0,0,41,2023,
Nuclear,"3,788","3,428",0,0,0,0,0,0,0,0,0,0,"7,216",2023,
Other,75,56,0,0,0,0,0,0,0,0,0,0,131,2023,
Solar,"1,542","1,471",0,0,0,0,0,0,0,0,0,0,"3,012",2023,
WSL,-88,-69,0,0,0,0,0,0,0,0,0,0,-157,2023,
Wind,"10,897","10,175",0,0,0,0,0,0,0,0,0,0,"21,072",2023,